Name,RecipeIngredientParts,Calories,FatContent,CarbohydrateContent,ProteinContent
Low-Fat Berry Blue Frozen Dessert,"c(""blueberries"", ""granulated sugar"", ""vanilla yogurt"", ""lemon juice"")",170.9,2.5,37.1,3.2
Biryani,"c(""saffron"", ""milk"", ""hot green chili peppers"", ""onions"", ""garlic"", ""clove"", ""peppercorns"", ""cardamom seed"", ""cumin seed"", ""poppy seed"", ""mace"", ""cilantro"", ""mint leaf"", ""fresh lemon juice"", ""plain yogurt"", ""boneless chicken"", ""salt"", ""ghee"", ""onion"", ""tomatoes"", ""basmati rice"", ""long-grain rice"", ""raisins"", ""cashews"", ""eggs"")",1110.7,58.8,84.4,63.4
Best Lemonade,"c(""sugar"", ""lemons, rind of"", ""lemon, zest of"", ""fresh water"", ""fresh lemon juice"")",311.1,0.2,81.5,0.3
Carina's Tofu-Vegetable Kebabs,"c(""extra firm tofu"", ""eggplant"", ""zucchini"", ""mushrooms"", ""soy sauce"", ""low sodium soy sauce"", ""olive oil"", ""maple syrup"", ""honey"", ""red wine vinegar"", ""lemon juice"", ""garlic cloves"", ""mustard powder"", ""black pepper"")",536.1,24.0,64.2,29.3
Cabbage Soup,"c(""plain tomato juice"", ""cabbage"", ""onion"", ""carrots"", ""celery"")",103.6,0.4,25.1,4.3
Best Blackbottom Pie,"c(""graham cracker crumbs"", ""sugar"", ""butter"", ""sugar"", ""cornstarch"", ""salt"", ""milk"", ""vanilla extract"", ""water"", ""gelatin"", ""rum"", ""cream of tartar"", ""sugar"")",437.9,19.3,58.0,7.0
Warm Chicken A La King,"c(""chicken"", ""butter"", ""flour"", ""milk"", ""celery"", ""button mushrooms"", ""green pepper"", ""canned pimiento"", ""salt"", ""black pepper"", ""Worcestershire sauce"", ""parsley"")",895.5,66.8,29.1,45.3
Buttermilk Pie With Gingersnap Crumb Crust,"c(""sugar"", ""margarine"", ""egg"", ""flour"", ""salt"", ""buttermilk"", ""graham cracker crumbs"", ""margarine"")",228.0,7.1,37.5,4.2
A Jad - Cucumber Pickle,"c(""rice vinegar"", ""haeo"")",4.3,0.0,1.1,0.1
Butter Pecan Cookies,"c(""butter"", ""brown sugar"", ""granulated sugar"", ""vanilla extract"", ""flour"", ""pecan halves"")",69.0,5.6,4.5,0.8
Boston Cream Pie,"c(""margarine"", ""cake flour"", ""baking powder"", ""salt"", ""sugar"", ""vanilla"", ""eggs"", ""milk"", ""sugar"", ""cornstarch"", ""milk"", ""flour"", ""salt"", ""vanilla"", ""butter"", ""vanilla"")",688.2,36.4,84.0,8.8
Chicken Breasts Lombardi,"c(""fresh mushrooms"", ""butter"", ""boneless skinless chicken breast halves"", ""flour"", ""butter"", ""marsala"", ""chicken broth"", ""salt"", ""mozzarella cheese"", ""parmesan cheese"", ""green onion"")",627.7,24.9,13.7,57.9
Biscotti Di Prato,"c(""flour"", ""sugar"", ""baking powder"", ""salt"", ""eggs"", ""vanilla"", ""egg"", ""water"")",89.4,2.6,14.5,2.3
Chai Tea,"c(""water"", ""black tea"", ""cinnamon stick"", ""milk"", ""sugar"", ""honey"", ""cardamom pods"", ""black peppercorns"", ""star anise"", ""whole cloves"", ""whole coriander seed"")",69.2,3.8,6.0,3.5
Cafe Cappuccino,"c(""instant coffee"", ""sugar"", ""nonfat dry milk solid"")",62.2,0.1,12.8,2.7
Jimmy G's Carrot Cake,"c(""all-purpose flour"", ""sugar"", ""baking powder"", ""baking soda"", ""five-spice seasoning"", ""carrots"", ""walnuts"", ""pineapple"", ""coconut"", ""raisins"", ""applesauce"", ""eggs"")",372.9,10.6,66.2,6.6
Carrot Cake,"c(""carrots"", ""eggs"", ""white sugar"", ""all-purpose flour"", ""baking powder"", ""baking soda"", ""cinnamon"", ""salt"", ""nutmeg"", ""golden raisin"", ""confectioners' sugar"", ""cream cheese"", ""light corn syrup"", ""vanilla extract"")",522.6,27.1,67.0,5.0
Betty Crocker's Southwestern Guacamole Dip,"c(""avocados"", ""tomatoes"", ""salt"", ""garlic"", ""lime juice"")",415.9,36.9,24.9,5.5
Buttermilk Pie,"c(""butter"", ""margarine"", ""sugar"", ""flour"", ""eggs"", ""salt"", ""vanilla"", ""buttermilk"")",395.9,19.1,52.2,5.0
Black Bean Salsa,"c(""black beans"", ""tomatoes"", ""roma tomatoes"", ""green onions"", ""garlic"", ""cilantro"", ""white pepper"")",114.3,3.8,15.6,5.4
Low-Fat Burgundy Beef & Vegetable Stew,"c(""beef eye round"", ""dried thyme leaves"", ""salt"", ""pepper"", ""ready-to-serve beef broth"", ""Burgundy wine"", ""garlic"", ""cornstarch"", ""frozen sugar snap peas"")",280.1,6.0,22.4,29.8
